,sport_x,league_x,sportsbook_x,startdate_x,awayteam,hometeam,description_x,islive_x,home_decimal_odds_x,away_decimal_odds_x,sport_y,league_y,sportsbook_y,startdate_y,description_y,islive_y,home_decimal_odds_y,away_decimal_odds_y,sport,league,sportsbook,startdate,description,islive,home_decimal_odds,away_decimal_odds,best_away,best_home,cum_prob,log_time,best_book_home,best_book_away
651467,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,chan sung jung,dan ige,Chan Sung Jung vs Dan Ige,0,1.9090909090909092,1.9090909090909092,Mixed Martial Arts,UFC,Pinnacle,2021-06-20T01:45:00Z,Dan Ige vs Chan Sung Jung,0,1.9345794392523366,1.9345794392523366,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Chan Sung Jung vs Dan Ige,0,1.9090909090909092,1.8333333333333335,1.9345794392523366,1.9345794392523366,1.0338164251207729,2021-06-11 05:30:15.983200,Pinnacle,Pinnacle
651468,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,davey grant,marlon vera,Davey Grant vs Marlon Vera,0,1.4,3.1,Mixed Martial Arts,UFC,Pinnacle,2021-06-20T00:15:00Z,Marlon Vera vs Davey Grant,0,1.3952569169960474,3.1,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Davey Grant vs Marlon Vera,0,1.3846153846153846,3.01,3.1,1.4,1.0368663594470047,2021-06-11 05:30:15.983200,BetOnline,Pinnacle
651469,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,rick glenn,joaquim silva,Rick Glenn vs Joaquim Silva,0,1.9090909090909092,1.9090909090909092,Mixed Martial Arts,UFC,Pinnacle,2021-06-19T20:00:00Z,Joaquim Silva vs Rick Glenn,0,1.8695652173913042,2.0,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Rick Glenn vs Joaquim Silva,0,1.8,1.9523809523809523,2.0,1.9090909090909092,1.0238095238095237,2021-06-11 05:30:15.983200,BetOnline,Pinnacle
651470,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,aleksei oleinik,sergey spivak,Aleksei Oleinik vs Sergey Spivak,0,1.4444444444444444,2.9,,,,,,,,,,,,,,,,,2.9,1.4444444444444444,1.0371352785145889,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651471,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,kanako murata,virna jandiroba,Kanako Murata vs Virna Jandiroba,0,1.6451612903225805,2.35,Mixed Martial Arts,UFC,Pinnacle,2021-06-19T20:00:00Z,Virna Jandiroba vs Kanako Murata,0,1.6622516556291391,2.31,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Kanako Murata vs Virna Jandiroba,0,1.6451612903225805,2.23,2.35,1.6622516556291391,1.027125540391625,2021-06-11 05:30:15.983200,Pinnacle,BetOnline
651472,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,roque martinez,josh parisian,Roque Martinez vs Josh Parisian,0,1.6451612903225805,2.35,Mixed Martial Arts,UFC,Pinnacle,2021-06-19T20:00:00Z,Josh Parisian vs Roque Martinez,0,1.6666666666666665,2.3,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Roque Martinez vs Josh Parisian,0,1.6666666666666665,2.2,2.35,1.6666666666666665,1.025531914893617,2021-06-11 05:30:15.983200,BookMaker,BetOnline
651473,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,wellington turman,bruno silva,Wellington Turman vs Bruno Silva,0,1.6896551724137931,2.25,Mixed Martial Arts,UFC,Pinnacle,2021-06-19T23:45:00Z,Bruno Silva vs Wellington Turman,0,1.6944444444444444,2.25,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Wellington Turman vs Bruno Silva,0,1.6896551724137931,2.15,2.25,1.6944444444444444,1.034608378870674,2021-06-11 05:30:15.983200,Pinnacle,Pinnacle
651474,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,julian erosa,seung woo choi,Julian Erosa vs Seung Woo Choi,0,1.6451612903225805,2.35,,,,,,,,,,,,,,,,,2.35,1.6451612903225805,1.033375052148519,2021-06-11 05:30:15.983200,BetOnline,BetOnline
651475,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,casey oneill,lara procopio,Casey ONeill vs Lara Procopio,0,1.8333333333333335,2.0,,,,,,,,,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Casey ONeill vs Lara Procopio,0,1.8333333333333335,1.9090909090909092,2.0,1.8333333333333335,1.0454545454545454,2021-06-11 05:30:15.983200,BookMaker,BetOnline
651476,Martial Arts,UFC,BetOnline,2021-06-20T02:00:01Z,nicolae negumereanu,aleksa camur,Nicolae Negumereanu vs Aleksa Camur,0,1.4166666666666667,3.05,Mixed Martial Arts,UFC,Pinnacle,2021-06-19T20:00:00Z,Aleksa Camur vs Nicolae Negumereanu,0,1.4081632653061225,3.04,Mixed Martial Arts,UFC,BookMaker,2021-06-19T22:00:00Z,Nicolae Negumereanu vs Aleksa Camur,0,1.4166666666666667,2.8600000000000003,3.05,1.4166666666666667,1.033751205400193,2021-06-11 05:30:15.983200,BookMaker,BetOnline
