,match_time_bm,away_player,home_player,odds_away_bm,odds_home_bm,spread_away_bm,spread_home_bm,away_decimal_odds_bm,home_decimal_odds_bm,match_time_bto,odds_away_bto,odds_home_bto,spread_away_bto,spread_home_bto,away_decimal_odds_bto,home_decimal_odds_bto,best_away,best_home,cum_prob,log_time
0,02/2008:26,Jon Rahm,Xander Schauffele,-130,106,-0.5-102,+0.5-122,1.7692307692307692,2.06,11:25 AM,-125,105,-105,-125,1.8,2.05,1.8,2.06,1.040992448759439,2021-02-20 09:34:30.201330
1,02/2009:21,Kevin Na,Marc Leishman,-122,-102,-0.5+104,+0.5-128,1.819672131147541,1.9803921568627447,12:20 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.0,1.0454545454545454,2021-02-20 09:34:30.201330
2,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:47:36.637120
3,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:47:36.637120
4,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:47:36.637120
5,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:48:35.003912
6,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:48:35.003912
7,02/2108:30,Lanto Griffin,Rickie Fowler,-113,-111,-0.5+117,+0.5-141,1.8849557522123888,1.900900900900901,01:00 PM,-115,-105,104,-135,1.869565217391304,1.9523809523809523,1.8849557522123888,1.9523809523809523,1.042711553876102,2021-02-21 05:48:35.003912
8,02/2108:30,Xander Schauffele,Jon Rahm,-102,-122,-0.5+123,+0.5-147,1.9803921568627447,1.819672131147541,01:00 PM,105,-125,-125,-105,2.05,1.8,2.05,1.819672131147541,1.03735442759833,2021-02-21 05:48:57.750728
9,02/2108:30,Tony Finau,Viktor Hovland,-125,101,-0.5+105,+0.5-129,1.8,2.01,01:00 PM,-120,100,-101,-130,1.8333333333333333,2.0,1.8333333333333333,2.01,1.0429669832654906,2021-02-21 05:48:57.750728
